Date Time,Txn Hash,Type,From Wallet,To Wallet,Token Name,Token Amount In,Token Amount Out,Fiat Value In,Fiat Value Out,Realised Gains/Loss,Account,Tags,Notes,Blockchain
2025-05-15T11:00:11.000-06:00,"=HYPERLINK(""https://etherscan.io/tx/0xd5582d91baa91107f9e25cb659ec1dfbce6e2823c6bae7bb5753a2abe5f0fdab"",""0xd5582d91baa91107f9e25cb659ec1dfbce6e2823c6bae7bb5753a2abe5f0fdab"")",Withdrawal,"=HYPERLINK(""https://etherscan.io/address/0x97843608a00e2bbc75ab0C1911387E002565DEDE"",""BuidlGuidl.eth"")","=HYPERLINK(""https://etherscan.io/address/0x60c7B0c5B3a4Dc8C690b074727a17fF7aA287Ff2"",""Llamapay"")","=HYPERLINK(""https://etherscan.io/address/0x6B175474E89094C44Da98b954EedeAC495271d0F"",""DAI"")",,33600,,33603.19788809137392,0.0000000379911890470600885592418755,02-Llamapay,,,ethereum
2025-05-15T11:00:11.000-06:00,"=HYPERLINK(""https://etherscan.io/tx/0xd5582d91baa91107f9e25cb659ec1dfbce6e2823c6bae7bb5753a2abe5f0fdab"",""0xd5582d91baa91107f9e25cb659ec1dfbce6e2823c6bae7bb5753a2abe5f0fdab"")",Fee,"=HYPERLINK(""https://etherscan.io/address/0x11E91FB4793047a68dFff29158387229eA313ffE"",""buidlguidl.zakgriffith.eth"")",,ETH,,0.001026547314920595,,2.6728398127856600298935639570925,-0.19179401515838646963700067937,20-Fee,,,ethereum
2025-05-15T10:57:11.000-06:00,"=HYPERLINK(""https://etherscan.io/tx/0x4fba3a5e4e42a64431c69afa6782729f398e2a94f05d831969936126c97877b8"",""0x4fba3a5e4e42a64431c69afa6782729f398e2a94f05d831969936126c97877b8"")",Deposit,"=HYPERLINK(""https://etherscan.io/address/0xbEbc44782C7dB0a1A60Cb6fe97d0b483032FF1C7"",""0xbEbc44782C7dB0a1A60Cb6fe97d0b483032FF1C7"")","=HYPERLINK(""https://etherscan.io/address/0x97843608a00e2bbc75ab0C1911387E002565DEDE"",""BuidlGuidl.eth"")","=HYPERLINK(""https://etherscan.io/address/0x6B175474E89094C44Da98b954EedeAC495271d0F"",""DAI"")",33630.749891753324466532,,33633.9507064730510351457114885105636204,,,15-Swap IN,,,ethereum
2025-05-15T10:57:11.000-06:00,"=HYPERLINK(""https://etherscan.io/tx/0x4fba3a5e4e42a64431c69afa6782729f398e2a94f05d831969936126c97877b8"",""0x4fba3a5e4e42a64431c69afa6782729f398e2a94f05d831969936126c97877b8"")",Withdrawal,"=HYPERLINK(""https://etherscan.io/address/0x97843608a00e2bbc75ab0C1911387E002565DEDE"",""BuidlGuidl.eth"")","=HYPERLINK(""https://etherscan.io/address/0x9008D19f58AAbD9eD0D60971565AA8510560ab41"",""0x9008D19f58AAbD9eD0D60971565AA8510560ab41"")","=HYPERLINK(""https://etherscan.io/address/0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2"",""WETH"")",,0.004781257568835073,,12.416048655310602395162778935487,-5.8871197257569588531752647304138,14-Swap OUT,,,ethereum
2025-05-15T10:57:11.000-06:00,"=HYPERLINK(""https://etherscan.io/tx/0x4fba3a5e4e42a64431c69afa6782729f398e2a94f05d831969936126c97877b8"",""0x4fba3a5e4e42a64431c69afa6782729f398e2a94f05d831969936126c97877b8"")",Withdrawal,"=HYPERLINK(""https://etherscan.io/address/0x97843608a00e2bbc75ab0C1911387E002565DEDE"",""BuidlGuidl.eth"")","=HYPERLINK(""https://etherscan.io/address/0xBA12222222228d8Ba445958a75a0704d566BF2C8"",""0xBA12222222228d8Ba445958a75a0704d566BF2C8"")","=HYPERLINK(""https://etherscan.io/address/0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2"",""WETH"")",,12.995218742431164927,,33746.198749912036397604837221064513,-3040.142462992518643546549639281876,14-Swap OUT,,,ethereum
2025-05-15T10:56:47.000-06:00,"=HYPERLINK(""https://etherscan.io/tx/0xda88faf4cdac04d177204bdf4ee95f189036d53d72b6f7bf4eaf7a16d9bd7c4d"",""0xda88faf4cdac04d177204bdf4ee95f189036d53d72b6f7bf4eaf7a16d9bd7c4d"")",Fee,"=HYPERLINK(""https://etherscan.io/address/0x11E91FB4793047a68dFff29158387229eA313ffE"",""buidlguidl.zakgriffith.eth"")",,ETH,,0.00068994627247779,,1.796425589895333154518038405085,-0.12890547169013172641084760234,20-Fee,,,ethereum
2025-05-15T10:23:59.000-06:00,"=HYPERLINK(""https://etherscan.io/tx/0x412b78cb1aea70252a665629bbe04f5859901b6bb63e83a39eddf4ed076987dc"",""0x412b78cb1aea70252a665629bbe04f5859901b6bb63e83a39eddf4ed076987dc"")",Withdrawal,"=HYPERLINK(""https://etherscan.io/address/0x97843608a00e2bbc75ab0C1911387E002565DEDE"",""BuidlGuidl.eth"")","=HYPERLINK(""https://etherscan.io/address/0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2"",""Eth Unwrapper"")",ETH,,13,,33848.3351533594995,,14-Swap OUT,,,ethereum
2025-05-15T10:23:59.000-06:00,"=HYPERLINK(""https://etherscan.io/tx/0x412b78cb1aea70252a665629bbe04f5859901b6bb63e83a39eddf4ed076987dc"",""0x412b78cb1aea70252a665629bbe04f5859901b6bb63e83a39eddf4ed076987dc"")",Deposit,"=HYPERLINK(""https://etherscan.io/address/0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2"",""Eth Unwrapper"")","=HYPERLINK(""https://etherscan.io/address/0x97843608a00e2bbc75ab0C1911387E002565DEDE"",""BuidlGuidl.eth"")","=HYPERLINK(""https://etherscan.io/address/0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2"",""WETH"")",13,,33758.614798567347,,,15-Swap IN,,,ethereum
2025-05-15T10:23:59.000-06:00,"=HYPERLINK(""https://etherscan.io/tx/0x412b78cb1aea70252a665629bbe04f5859901b6bb63e83a39eddf4ed076987dc"",""0x412b78cb1aea70252a665629bbe04f5859901b6bb63e83a39eddf4ed076987dc"")",Fee,"=HYPERLINK(""https://etherscan.io/address/0x11E91FB4793047a68dFff29158387229eA313ffE"",""buidlguidl.zakgriffith.eth"")",,ETH,,0.000919009299013624,,2.392841135543624680662709255476,-0.171702249729571541701883721104,20-Fee,,,ethereum
2025-05-15T03:11:15.000-06:00,"=HYPERLINK(""https://optimistic.etherscan.io/tx/0x2db704ed0120f54a4b3d4177b7badb16dec7267d47533bc78d85634aa176fde1"",""0x2db704ed0120f54a4b3d4177b7badb16dec7267d47533bc78d85634aa176fde1"")",Withdrawal,"=HYPERLINK(""https://optimistic.etherscan.io/address/0x6A4E5ed62d3827128Dbd70c5bDe25C0e6c6aA537"",""OP Grants Safe"")","=HYPERLINK(""https://optimistic.etherscan.io/address/0x85ba183Fb4c16D435B076DDe459dAfc8eFF864d8"",""0x85ba183Fb4c16D435B076DDe459dAfc8eFF864d8"")","=HYPERLINK(""https://optimistic.etherscan.io/address/0xDeadDeAddeAddEAddeadDEaDDEAdDeaDDeAD0000"",""ETH"")",,0.075,,195.2788566539971125,54.3446237415644175,,,,optimism
2025-05-15T03:09:59.000-06:00,"=HYPERLINK(""https://optimistic.etherscan.io/tx/0x4b8fff968768948b3c47967b5a625325193f5e78a299cb5507ee1334358c33a9"",""0x4b8fff968768948b3c47967b5a625325193f5e78a299cb5507ee1334358c33a9"")",Withdrawal,"=HYPERLINK(""https://optimistic.etherscan.io/address/0x6A4E5ed62d3827128Dbd70c5bDe25C0e6c6aA537"",""OP Grants Safe"")","=HYPERLINK(""https://optimistic.etherscan.io/address/0x6BF7d6b94282BD48ff458599aDafA268BcB009FF"",""0x6BF7d6b94282BD48ff458599aDafA268BcB009FF"")","=HYPERLINK(""https://optimistic.etherscan.io/address/0xDeadDeAddeAddEAddeadDEaDDEAdDeaDDeAD0000"",""ETH"")",,0.075,,195.2788566539971125,30.1166758354609774533705461424966,,,,optimism
2025-05-14T18:56:55.000-06:00,"=HYPERLINK(""https://basescan.org/tx/0x867e335b78789ac5566e61a8fd3a13f06ac1f505eb2c0a9e42e3a756691f53d3"",""0x867e335b78789ac5566e61a8fd3a13f06ac1f505eb2c0a9e42e3a756691f53d3"")",Withdrawal,"=HYPERLINK(""https://basescan.org/address/0x8cD78a945c6D209fe8C7ed8Ee1712F43bec17781"",""hot.buidlguidl.eth"")","=HYPERLINK(""https://basescan.org/address/0xE0B6CFB99C0E997068F87DfAaEB6c671e0A0C87d"",""0xE0B6CFB99C0E997068F87DfAaEB6c671e0A0C87d"")",ETH,,0.01,,26.037180887199615,-7.129648659575642,,,,base
2025-05-14T18:56:55.000-06:00,"=HYPERLINK(""https://basescan.org/tx/0x867e335b78789ac5566e61a8fd3a13f06ac1f505eb2c0a9e42e3a756691f53d3"",""0x867e335b78789ac5566e61a8fd3a13f06ac1f505eb2c0a9e42e3a756691f53d3"")",Fee,"=HYPERLINK(""https://basescan.org/address/0x8cD78a945c6D209fe8C7ed8Ee1712F43bec17781"",""hot.buidlguidl.eth"")",,ETH,,0.000000045400434493,,0.0001182099325251697743022320195,-0.0000323689146927169191799419506,20-Fee,,,base
2025-05-14T18:50:59.000-06:00,"=HYPERLINK(""https://basescan.org/tx/0xac6dc2ab220b3501f5867c5ba399b00dd59b14dd32451a7ff3fdbe7a095968c1"",""0xac6dc2ab220b3501f5867c5ba399b00dd59b14dd32451a7ff3fdbe7a095968c1"")",Withdrawal,"=HYPERLINK(""https://basescan.org/address/0x8cD78a945c6D209fe8C7ed8Ee1712F43bec17781"",""hot.buidlguidl.eth"")","=HYPERLINK(""https://basescan.org/address/0x0B5836B2055A63FcEB38323dd47AbAe288CC22E2"",""0x0B5836B2055A63FcEB38323dd47AbAe288CC22E2"")",ETH,,0.01,,26.037180887199615,-7.129648659575642,,,,base
